978289607263X, L été indien et 43 petites histoires, , L été indien et 43 petites histoires, , 
978289295037X, Les fées ont soif, Les Fées ont soif, , , 
978292438170X, Zaq et moi Tome 5, , Zaq et moi Tome 5, , 
978289583238X, , Le jour où le mort est disparu, Le jour où le mort est disparu, , 
978289579514X, BATAILLE DES PLAINES, , La bataille des plaines, , 
978289295162X, Les grands pères, Les grands pères, Les grands pères, , 
978289430175X, , Mortellement vôtre, Mortellement vôtre, , 
978289261227X, , Self, Self, , 
978292384448X, , Errances, Errances, , 
978289430627X, , Le cahier noir, Le cahier noir, , 
978289261604X, , Il pleuvait des oiseaux, Il pleuvait des oiseaux, , 
978292334293X, Maria Chapdelaine, , Maria Chapdelaine, , 
978289565015X, , , Chanson pour Carla, , Chanson pour Carla
978289435108X, L énigme de l île aux chevaux Nº 14, , L énigme de l île aux Chevaux, , 
978289021140X, PLAISIRS D ANIMAUX, Plaisirs d animaux, , , 
978289006597X, Les grands poèmes de la poésie québécoise, Les grands poèmes de la poésie québécoise, Les grands poèmes de la poésie québécoise, , 
978289512900X, , Fred Poulet enquête sur le vélo volé, Fred Poulet enquête sur le vélo volé, , 
978289686568X, , Un livre à la mer, Un livre à la mer, , 
978289021867X, , Mission ouaouaron, Mission ouaouaron, , 
978289723079X, , , Félicité, Félicité Tome 4 compact Une vie nouvelle, 
978289651642X, PACIFIC EXPRESS T 5 LE P, Le pont du ruisseau Mountain, Pacific Express, , 
978289435493X, Les dragouilles NÂ 3, , Les dragouilles, , 
978292301690X, , La belle embarquée, La belle embarquée, , 
978289607087X, Le don de Yogi Ferron Nº 88, Le don de Yogi Ferron, Le don de Yogi Ferron, , 
978276400627X, Contes érotiques, , Contes érotiques, , 
978276400849X, Frivolités, , Frivolités, , 
978292355002X, , Traité de balistique, Traité de balistique, , 
978289607134X, Trop long NÂ 104, Trooooooooooop long, Trooooooooooop long, , 
978289512444X, , Destructotor, Destructotor, , 
978292334280X, Le Jardin des Lions, Le jardin des lions, Le jardin des lions, , 
978289037771X, , Drakkar, Drakkar, , 
978289649741X, Au grand soleil cachez vos filles, , Au grand soleil cachez vos filles, , 
978289516064X, , Le livre ailé, Le livre ailé, , 
978289723444X, , , Cœur de slush, Coeur de slush, 
978289031534X, , La coïncidence, La coïncidence, , 
978289089994X, Corino et ses amis, , Corino et ses amis, , 
978292315069X, , La pointe à Ti Jean, La pointe à Ti Jean, , 
978289591067X, , L âne magique du petit chevalier, L âne magique du petit chevalier, , 
978289428398X, , Aline et le grand Marcel, Aline et le grand Marcel, , 
978276440720X, , Macaroni en folie, Macaroni en folie, , 
978292334223X, Djak au cirque, , Djak au cirque, , 
978289052630X, , Écrire comme un chat, Écrire comme un chat, , 
978289261507X, , Le retour de Lorenzo Sánchez, Le retour de Lorenzo Sánchez, , 
978289686707X, , Galette est vert de jalousie, Galette est vert de jalousie, , 
978289111970X, Maison des gentils hommes, , La maison des gentils hommes, , 
978289225901X, Le retour du millionnaire, , Le retour du millionnaire et ses enseignements secrets, , 
