id1,data_base1,title1,author1,isbn1,title_raw1,author_raw1,isbn_raw1,id2,data_base2,title2,author2,isbn2,title_raw2,author_raw2,isbn_raw2
<http://banq.qc.ca/livre/25299>,Depot_legal,poesie,['martin cote'],[],Poésie,"['""Martin"" ""Côté""']",[],<http://recif.litterature.org/ontologie/entite/oeuvre/18937>,ILE,poesies,['garneau alfred'],[],Poésies,"['""Garneau, Alfred""']","['"" Br""']"
<http://banq.qc.ca/livre/25299>,Depot_legal,poesie,['martin cote'],[],Poésie,"['""Martin"" ""Côté""']",[],<http://recif.litterature.org/ontologie/entite/oeuvre/6208>,ILE,poesis,['nelligan emile'],[],Poésis,"['""Nelligan, Émile""']","['""""']"
<http://banq.qc.ca/livre/25299>,Depot_legal,poesie,['martin cote'],[],Poésie,"['""Martin"" ""Côté""']",[],<http://recif.litterature.org/ontologie/entite/oeuvre/18605>,ILE,poesie,['laverdure bertrand'],[],Poésie,"['""Laverdure, Bertrand""']","['""""']"
<http://banq.qc.ca/livre/25299>,Depot_legal,poesie,['martin cote'],[],Poésie,"['""Martin"" ""Côté""']",[],<http://recif.litterature.org/ontologie/entite/oeuvre/9598>,ILE,poevie,['langevin gilbert'],['978289295132X'],Poévie,"['""Langevin, Gilbert""']","['""2-89295-132-1 (br.)""']"
<http://banq.qc.ca/livre/25299>,Depot_legal,poesie,['martin cote'],[],Poésie,"['""Martin"" ""Côté""']",[],<http://recif.litterature.org/ontologie/entite/oeuvre/8339>,ILE,poesie,['grandbois alain'],"['978276061509X', '978276061510X']",Poésie,"['""Grandbois, Alain""']","['""276061509X (vol. 1) (rel.)|2760615103 (vol. 2)""']"
<http://banq.qc.ca/livre/25299>,Depot_legal,poesie,['martin cote'],[],Poésie,"['""Martin"" ""Côté""']",[],<http://recif.litterature.org/ontologie/entite/oeuvre/27760>,ILE,poesie,['david carole'],['978289695036X'],Poésie,"['""David, Carole""']","['""978-2-89695-036-2 (vol. 3)""']"
<http://banq.qc.ca/livre/25299>,Depot_legal,poesie,['martin cote'],[],Poésie,"['""Martin"" ""Côté""']",[],<http://recif.litterature.org/ontologie/entite/oeuvre/12490>,ILE,poesies,['saint-denys garneau hector de'],[],Poésies,"['""Saint-Denys Garneau, Hector de""']","['""""']"
<http://banq.qc.ca/livre/25299>,Depot_legal,poesie,['martin cote'],[],Poésie,"['""Martin"" ""Côté""']",[],<http://recif.litterature.org/ontologie/entite/oeuvre/10855>,ILE,poesies,['nelligan emile'],[],Poésies,"['""Nelligan, Émile""']","['""""']"
<http://banq.qc.ca/livre/25299>,Depot_legal,poesie,['martin cote'],[],Poésie,"['""Martin"" ""Côté""']",[],<http://recif.litterature.org/ontologie/entite/oeuvre/10988>,ILE,poesie,['ouellette fernand'],[],Poésie,"['""Ouellette, Fernand""']","['""""']"
<http://banq.qc.ca/livre/25299>,Depot_legal,poesie,['martin cote'],[],Poésie,"['""Martin"" ""Côté""']",[],<http://www.sogides.com/livre/189767>,ADP,poevie,['gilbert langevin'],['978289295132X'],Poévie,"['""Gilbert Langevin""']","['""9782892951325""']"
